ListTitle,FieldTitle,FieldInternalName
Documents,Name,FileLeafRef
Documents,Unique Id,UniqueId
Documents,Client Id,SyncClientId
Documents,ProgId,ProgId
Documents,ScopeId,ScopeId
Documents,Virus Status,VirusStatus
Documents,Checked Out To,CheckedOutTitle
Documents,Check In Comment,_CheckinComment
Documents,Checked Out To,LinkCheckedOutTitle
Documents,Document Modified By,Modified_x0020_By
Documents,Document Created By,Created_x0020_By
Documents,File Type,File_x0020_Type
Documents,HTML File Type,HTML_x0020_File_x0020_Type
Documents,Source URL,_SourceUrl
Documents,Shared File Index,_SharedFileIndex
Documents,Edit Menu Table Start,_EditMenuTableStart
Documents,Edit Menu Table Start,_EditMenuTableStart2
Documents,Edit Menu Table End,_EditMenuTableEnd
Documents,Type,DocIcon
Documents,Server Relative URL,ServerUrl
Documents,Encoded Absolute URL,EncodedAbsUrl
Documents,File Size,FileSizeDisplay
Documents,Property Bag,MetaInfo
Documents,Level,_Level
Documents,Is Current Version,_IsCurrentVersion
Documents,Item Child Count,ItemChildCount
Documents,Folder Child Count,FolderChildCount
Documents,Restricted,Restricted
Documents,Originator Id,OriginatorId
Documents,NoExecute,NoExecute
Documents,Content Version,ContentVersion
Documents,Label setting,_ComplianceFlags
Documents,Retention label,_ComplianceTag
Documents,Retention label Applied,_ComplianceTagWrittenTime
Documents,Label applied by,_ComplianceTagUserId
