ListTitle,FieldTitle,FieldInternalName
Document Type,ScopeId,ScopeId
Document Type,HTML File Type,HTML_x0020_File_x0020_Type
Document Type,Edit Menu Table Start,_EditMenuTableStart
Document Type,Edit Menu Table Start,_EditMenuTableStart2
Document Type,Edit Menu Table End,_EditMenuTableEnd
Document Type,Name,LinkFilenameNoMenu
Document Type,Name,LinkFilename
Document Type,Name,LinkFilename2
Document Type,Type,DocIcon
Document Type,Server Relative URL,ServerUrl
Document Type,Encoded Absolute URL,EncodedAbsUrl
Document Type,File Name,BaseName
Document Type,Property Bag,MetaInfo
Document Type,Level,_Level
Document Type,Is Current Version,_IsCurrentVersion
Document Type,Item Child Count,ItemChildCount
Document Type,Folder Child Count,FolderChildCount
Document Type,Restricted,Restricted
Document Type,Originator Id,OriginatorId
Document Type,NoExecute,NoExecute
Document Type,Content Version,ContentVersion
Document Type,Label setting,_ComplianceFlags
Document Type,Retention label,_ComplianceTag
Document Type,Retention label Applied,_ComplianceTagWrittenTime
Document Type,Label applied by,_ComplianceTagUserId
Document Type,Item is a Record,_IsRecord
Document Type,Access Policy,AccessPolicy
Document Type,VirusStatus,_VirusStatus
Document Type,VirusVendorID,_VirusVendorID
Document Type,VirusInfo,_VirusInfo
Document Type,App Created By,AppAuthor
Document Type,App Modified By,AppEditor
Document Type,Total Size,SMTotalSize
Document Type,Last Modified Date,SMLastModifiedDate
Document Type,Total File Stream Size,SMTotalFileStreamSize
Document Type,Total File Count,SMTotalFileCount
Document Type,Comment settings,_CommentFlags
Document Type,Comment count,_CommentCount
Documents,Content Type ID,ContentTypeId
Documents,Approver Comments,_ModerationComments
Documents,Name,FileLeafRef
Documents,Document Modified By,Modified_x0020_By
Documents,Document Created By,Created_x0020_By
Documents,File Type,File_x0020_Type
Documents,HTML File Type,HTML_x0020_File_x0020_Type
Documents,Source URL,_SourceUrl
Documents,Shared File Index,_SharedFileIndex
Documents,Compliance Asset Id,ComplianceAssetId
Documents,Title,Title
Documents,Template Link,TemplateUrl
